accuracy,pruning,sparsity,model,dataset,seed,nodes,edges,sink_nodes,source_nodes,disc_nodes,r-out,r-in,2-hop_nei,cut-edges,motif,no_connected_components,mean_connected_components,avg_node_strength,1-hop_nei,cut-nodes,k-core,spectral_gap,spectral_radius
0.2732,grasp,0.98,MobileNetV2,tinyimagenet,0,1676372,9181240,0.1225616987160367,0.0600755679526978,0.0252050260920607,0.1052831643655976,0.0356155595540471,5.800865220864183e-06,0.0096763617986241,980.583323058759,51664,1.935583772065655e-05,2.3169433684137494e-07,7.054440576753932e-07,0.0060048533749253,6.486674258712579e-07,1.1627674,124.34576917995732
0.248,grasp,0.98,MobileNetV2,tinyimagenet,1,1676372,9158550,0.125552681624365,0.0641062962158757,0.0240167456865182,0.1067005148194856,0.0377499713382576,5.8239720180820025e-06,0.0093728810783366,1204.722190848988,50044,1.9982415474382545e-05,2.287354435806687e-07,7.057138977417858e-07,0.0056899836764553,6.495405559469181e-07,1.0196495,134.8153589624001
0.2978,grasp,0.98,MobileNetV2,tinyimagenet,2,1676372,9062183,0.1217408785162243,0.0597719360619242,0.0243048678932838,0.103478709269058,0.0353612369116801,5.829293637614231e-06,0.0092176465648508,991.9720032137952,50197,1.992150925354105e-05,2.3166826479347665e-07,7.068749955104289e-07,0.0057349316384363,6.470575564164142e-07,0.7880478,147.55074923540548
0.0259,prospr,0.98,MobileNetV2,tinyimagenet,0,1676372,16552180,0.1013599606769857,0.0672851849112249,0.059557783117351,0.058984194226984,0.0231116988819599,5.3222670418684544e-06,0.0067374206902051,5570.332134498296,120347,8.309305591331733e-06,6.733577532991186e-08,6.569413107400353e-07,0.0039823153203988,6.450230595105538e-07,3.0009193,55.3714001509561
0.0236,prospr,0.98,MobileNetV2,tinyimagenet,1,1676372,18021590,0.0974222905178564,0.0666099171305652,0.0669517267050511,0.0533219321935522,0.0205871402023905,5.275394698844968e-06,0.0060819272883247,5465.689320864585,134627,7.427930504282202e-06,6.692990375921717e-08,6.520153075865131e-07,0.0034488077910994,6.430874338934414e-07,0.057225227,42.493723325617296
0.0228,prospr,0.98,MobileNetV2,tinyimagenet,2,1676372,18226301,0.0994809028067755,0.0679855067968207,0.0676806818534311,0.0539751867370126,0.0205426762127982,5.32261373733062e-06,0.0063882408174867,6870.291360380804,136050,7.35023888276369e-06,6.953305159752395e-08,6.513920758844969e-07,0.0037431621479311,6.438721916191295e-07,0.061401367,34.98567111444708
0.3122,er,0.98,MobileNetV2,tinyimagenet,0,1676372,4656153,0.1661307871999771,0.1072542371263657,0.0203600394184584,0.1452828117976363,0.0906117131460242,4.036821596990808e-06,0.0315953964571181,245.2695220711175,36440,2.744237102085621e-05,2.122224134271989e-07,8.112958828002837e-07,0.0237973279658121,6.598865687709853e-07,1.2754498,170.14077735141598
0.3074,er,0.98,MobileNetV2,tinyimagenet,1,1676372,4749963,0.1652389803695122,0.1059967596690949,0.0219963110813113,0.1463318766904079,0.0901642812796647,4.019167243235788e-06,0.0291648587578471,271.90982477126664,38165,2.620201755535176e-05,2.113931779520388e-07,8.0705426369468e-07,0.0212144810391154,6.563037330792751e-07,1.3289824,177.18095990909364
0.3146,er,0.98,MobileNetV2,tinyimagenet,2,1676372,4751494,0.1682108744359843,0.105651370936761,0.0218686544513986,0.1423274447994673,0.0890372585969802,4.024005961495922e-06,0.0327804265353171,283.48828978843284,39124,2.5559758715877723e-05,2.202195495149161e-07,8.069864285463742e-07,0.0250885300497064,6.517984980362838e-07,0.98060226,175.49059924110216
0.3075,erk,0.98,MobileNetV2,tinyimagenet,0,1676372,4667344,0.1741624174109326,0.1138291500931774,0.0262787734464665,0.1529045212866246,0.0959753555769619,4.030900113485345e-06,0.0325167804215845,236.9819850433137,48818,2.0484247613585156e-05,2.1897608195492347e-07,8.107809247617175e-07,0.0230447980693087,6.542648273519113e-07,0.8750906,174.25136509692334
0.3091,erk,0.98,MobileNetV2,tinyimagenet,1,1676372,4596281,0.1725535859582479,0.1128699357899082,0.0257597955585037,0.148705224941643,0.0911976443563829,3.949039302044623e-06,0.0363646173939321,236.59395802824065,45235,2.210677572676025e-05,2.2113308131687458e-07,8.140935107047239e-07,0.0269541831754847,6.634346614459735e-07,0.99022484,172.369256625791
0.3107,erk,0.98,MobileNetV2,tinyimagenet,2,1676372,4650544,0.1732807515277038,0.1087187092125136,0.0262006285001181,0.151749773789905,0.0892921344255639,3.978636083426619e-06,0.0329182994505589,269.18265777078983,46242,2.1625362224817263e-05,2.263203665631167e-07,8.115549154091648e-07,0.0245577721660089,6.546314355458168e-07,0.67836857,164.01500876497244
0.3266,rigl,0.98,MobileNetV2,tinyimagenet,0,1676372,4317309,0.1007777510003746,0.1155322327025266,0.639191659130551,0.1740845976046653,0.1432366782178435,4.009949588219695e-06,0.0342998381630779,1224.4824514529769,1152238,8.678762547320952e-07,8.427956180831427e-08,8.281520730341843e-07,0.0136054658121528,7.839304885063138e-07,16.655733,104.78164947369493
0.3363,rigl,0.98,MobileNetV2,tinyimagenet,1,1676372,4340872,0.1205609494789939,0.127781900437373,0.6027128823435371,0.1859045832265959,0.1286368268863952,4.057001603249188e-06,0.0388486460784837,1426.7940616539718,1115705,8.962942713351648e-07,1.07628846044799e-07,8.268947685337464e-07,0.0120178618489556,7.657460644536833e-07,17.172642,107.15080325644806
0.312,rigl,0.98,MobileNetV2,tinyimagenet,2,1676372,4386858,0.0942457879277391,0.1027701488691054,0.658722526980885,0.1807190932553549,0.1335513937310029,4.080451434197689e-06,0.0291942433513918,2108.980059304404,1176081,8.502815707421512e-07,9.564377633058408e-08,8.244798911828142e-07,0.0123983953891372,7.726530359709944e-07,16.807604,104.39517740719332
0.3942,itop,0.98,MobileNetV2,tinyimagenet,0,1676372,4340296,0.0777255883538975,0.0879935956935572,0.6251196035247546,0.1680454512779773,0.1197687899627122,4.139555406483189e-06,0.0173543463395123,725.5396406143728,1068352,9.360210866830408e-07,1.0449365312234485e-07,8.269253406959368e-07,0.0117210899901757,7.098313640110478e-07,3.7816248,107.9230058514697
0.3933,itop,0.98,MobileNetV2,tinyimagenet,1,1676372,4388515,0.0615973065644141,0.0799494384301336,0.6395155729157967,0.1579625454168437,0.0975313972949847,4.198661316645833e-06,0.0178294935758451,630.8430854172767,1087076,9.19898884714592e-07,1.0757690918700257e-07,8.2439382127367e-07,0.0135624465223429,7.387550382853364e-07,3.414361,108.5972963264687
